lat,lon,depth,strike,dip
-29.849999999999998,-71.35000000000002,38.05993,6.9648423,24.933952
-29.849999999999998,-71.30000000000001,40.313183,7.0351515,25.436914
-29.849999999999998,-71.25,42.61192,7.1089296,25.8257
-29.849999999999998,-71.19999999999999,44.94433,7.186968,26.09561
-29.849999999999998,-71.14999999999998,47.298023,7.270305,26.243946
-29.849999999999998,-71.10000000000002,49.660313,7.360299,26.269932
-29.849999999999998,-71.05000000000001,52.018456,7.4587026,26.174583
-29.849999999999998,-71.0,54.359917,7.567746,25.960587
-29.849999999999998,-70.94999999999999,56.67263,7.690219,25.632145
-29.849999999999998,-70.89999999999998,58.945183,7.8295555,25.194828
-29.849999999999998,-70.85000000000002,61.167,7.98992,24.655426
-29.849999999999998,-70.80000000000001,63.328484,8.176289,24.021793
-29.849999999999998,-70.75,65.42112,8.394527,23.302696
-29.849999999999998,-70.69999999999999,67.43752,8.651471,22.50766
-29.849999999999998,-70.64999999999998,69.37148,8.9549885,21.646812
-29.849999999999998,-70.60000000000002,71.21798,9.314042,20.730726
-29.849999999999998,-70.55000000000001,72.97312,9.738743,19.770262
-29.849999999999998,-70.5,74.63413,10.240386,18.776411
-29.849999999999998,-70.44999999999999,76.199265,10.831477,17.76014
-29.849999999999998,-70.39999999999998,77.66778,11.525734,16.732231
-29.849999999999998,-70.35000000000002,79.03981,12.338057,15.703133
-29.849999999999998,-70.30000000000001,80.3163,13.284467,14.682804
-29.849999999999998,-70.25,81.49894,14.381974,13.68057
-29.849999999999998,-70.19999999999999,82.59003,15.648381,12.704975
-29.849999999999998,-70.14999999999998,83.592415,17.101988,11.763657
-29.849999999999998,-70.10000000000002,84.50941,18.76119,10.863222
-29.849999999999998,-70.05000000000001,85.34465,20.643972,10.00915
-29.849999999999998,-70.0,86.10206,22.767298,9.205716
-29.849999999999998,-69.94999999999999,86.78571,25.14645,8.455955
-29.849999999999998,-69.89999999999998,87.39979,27.79438,7.761654
-29.849999999999998,-69.85000000000002,87.94845,30.721178,7.1234074
-29.849999999999998,-69.80000000000001,88.43578,33.93374,6.540705
-29.849999999999998,-69.75,88.865776,37.435764,6.0120845
-29.849999999999998,-69.69999999999999,89.2422,41.22803,5.5353193
-29.849999999999998,-69.64999999999998,89.56863,45.30886,5.1076555
-29.849999999999998,-69.60000000000002,89.84838,49.67446,4.726059
-29.849999999999998,-69.55000000000001,90.08454,54.31875,4.3874545
-29.849999999999998,-69.5,90.27994,59.232185,4.0889273
-29.849999999999998,-69.44999999999999,90.43719,64.39939,3.8278399
-29.849999999999998,-69.39999999999998,90.55872,69.795555,3.6018548
-29.849999999999998,-69.35000000000002,90.64683,75.3822,3.4088387
-29.849999999999998,-69.30000000000001,90.70368,81.10364,3.24666
-29.849999999999998,-69.25,90.73142,86.88587,3.1129143
-29.849999999999998,-69.19999999999999,90.73218,92.6393,3.0046437
-29.849999999999998,-69.14999999999998,90.708115,98.26568,2.9181268
-29.849999999999998,-69.10000000000002,90.66151,103.668015,2.8487995
-29.849999999999998,-69.05000000000001,90.59473,108.760635,2.7913332
-29.849999999999998,-69.0,90.51029,113.47679,2.7398465
-29.849999999999998,-68.94999999999999,90.41088,117.77201,2.6881962
-29.849999999999998,-68.89999999999998,90.299324,121.623276,2.6302783
-29.849999999999998,-68.85000000000002,90.178604,125.02487,2.5602942
-29.849999999999998,-68.80000000000001,90.05185,127.98252,2.4729493
-29.849999999999998,-68.75,89.9223,130.50659,2.363585
-29.849999999999998,-68.69999999999999,89.79331,132.60464,2.2282472
-29.849999999999998,-68.64999999999998,89.668304,134.27213,2.0637186
-29.849999999999998,-68.60000000000002,89.55074,135.47807,1.8675311
-29.849999999999998,-68.55000000000001,89.44412,136.13686,1.6379938
-29.849999999999998,-68.5,89.35193,136.04019,1.3742989
-29.849999999999998,-68.44999999999999,89.277596,134.65451,1.0769083
-29.849999999999998,-68.39999999999998,89.224525,130.32127,0.74919724
-29.849999999999998,-68.35000000000002,89.196,115.25109,0.40852967
-29.849999999999998,-68.30000000000001,89.19519,43.00028,0.23640916
-29.849999999999998,-68.25,89.2251,354.5369,0.55699307
-29.849999999999998,-68.19999999999999,89.28851,344.2716,1.0052223
-29.849999999999998,-68.14999999999998,89.38797,340.59952,1.4936016
-29.849999999999998,-68.10000000000002,89.52567,338.91135,2.0084739
-29.849999999999998,-68.05000000000001,89.70349,338.0443,2.5426538
-29.849999999999998,-68.0,89.92284,337.5782,3.089758
-29.799999999999997,-72.55000000000001,7.8856983,5.430438,5.348935
-29.799999999999997,-72.5,8.355749,5.502829,5.8477883
-29.799999999999997,-72.44999999999999,8.869281,5.5841055,6.377804
-29.799999999999997,-72.39999999999998,9.429041,5.6713037,6.94017
-29.799999999999997,-72.35000000000002,10.0379305,5.7618833,7.536663
-29.799999999999997,-72.30000000000001,10.699054,5.8536797,8.169526
-29.799999999999997,-72.25,11.415766,5.944889,8.841274
-29.799999999999997,-72.19999999999999,12.191688,6.0340676,9.554435
-29.799999999999997,-72.14999999999998,13.030711,6.120142,10.311223
-29.799999999999997,-72.10000000000002,13.936971,6.2024117,11.113183
-29.799999999999997,-72.05000000000001,14.914782,6.280536,11.960804
-29.799999999999997,-72.0,15.968548,6.3545055,12.853144
-29.799999999999997,-71.94999999999999,17.102636,6.4245934,13.787512
-29.799999999999997,-71.89999999999998,18.32122,6.491294,14.759213
-29.799999999999997,-71.85000000000002,19.628101,6.55525,15.761422
-29.799999999999997,-71.80000000000001,21.026506,6.617187,16.785173
-29.799999999999997,-71.75,22.518888,6.677845,17.819523
-29.799999999999997,-71.69999999999999,24.10672,6.737931,18.851826
-29.799999999999997,-71.64999999999998,25.790318,6.798083,19.868168
-29.799999999999997,-71.60000000000002,27.568668,6.8588514,20.853855
-29.799999999999997,-71.55000000000001,29.43932,6.920695,21.793983
-29.799999999999997,-71.5,31.398302,6.9839916,22.673979
-29.799999999999997,-71.44999999999999,33.4401,7.0490603,23.480106
-29.799999999999997,-71.39999999999998,35.5577,7.1161933,24.199911
-29.799999999999997,-71.35000000000002,37.74266,7.1856966,24.822544
-29.799999999999997,-71.30000000000001,39.985252,7.2579365,25.338991
-29.799999999999997,-71.25,42.274666,7.3333936,25.742203
-29.799999999999997,-71.19999999999999,44.599216,7.412718,26.027134
-29.799999999999997,-71.14999999999998,46.946583,7.4967957,26.190725
-29.799999999999997,-71.10000000000002,49.304108,7.586815,26.231813
-29.799999999999997,-71.05000000000001,51.65902,7.684335,26.15104
-29.799999999999997,-71.0,53.998726,7.791367,25.950705
-29.799999999999997,-70.94999999999999,56.311035,7.910445,25.634651
-29.799999999999997,-70.89999999999998,58.584385,8.044711,25.208118
-29.799999999999997,-70.85000000000002,60.808006,8.19799,24.677603
-29.799999999999997,-70.80000000000001,62.97209,8.374876,24.050724
-29.799999999999997,-70.75,65.06789,8.580804,23.336075
-29.799999999999997,-70.69999999999999,67.087776,8.82213,22.543093
-29.799999999999997,-70.64999999999998,69.02534,9.106202,21.681898
-29.799999999999997,-70.60000000000002,70.875305,9.441434,20.763145
-29.799999999999997,-70.55000000000001,72.633606,9.837366,19.797863
-29.799999999999997,-70.5,74.29732,10.304725,18.79729
-29.799999999999997,-70.44999999999999,75.86457,10.8554735,17.772703
-29.799999999999997,-70.39999999999998,77.33453,11.502845,16.735245
-29.799999999999997,-70.35000000000002,78.707306,12.261354,15.695749
-29.799999999999997,-70.30000000000001,79.98384,13.146778,14.664575
-29.799999999999997,-70.25,81.16586,14.176077,13.651429
