lon_c,lat_c,depth,strike,dip,area_km2
-71.4,-26.6,14.18371840625,6.71486628125,10.96706678125,442.2240680972132
-71.4,-26.400000000000002,13.7637058125,4.512066925,10.641879124999999,442.99437628985686
-71.4,-26.200000000000003,13.5366128125,1.73050715,10.4861079375,443.75928673582587
-71.4,-26.0,13.51097809375,314.128507378625,10.51477928125,444.5187901149279
-71.4,-25.8,13.63973834375,357.606866875,10.6649504375,445.272877172854
-71.4,-25.6,13.8275501875,357.57887125,10.82117534375,446.0215387212912
-71.4,-25.400000000000002,13.96900909375,358.806621875,10.88502196875,446.76476563803504
-71.4,-25.200000000000003,13.9886785,68.23752458874999,10.81463753125,447.5025488670998
-71.4,-25.0,13.92979,2.07825055,10.709035,448.23487941882996
-71.2,-30.0,48.988523625,7.054025575,26.2659426875,428.3123216983501
-71.2,-29.8,47.56864625,7.97581865,26.0795558125,429.1729023165932
-71.2,-29.6,45.9351868125,9.4782580625,25.8705120625,430.0282535984603
-71.2,-29.400000000000002,43.9931385625,11.4587869375,25.5944275625,430.87836512176597
-71.2,-29.200000000000003,41.705512125,13.53197178125,25.1997185,431.72322652816956
-71.2,-29.0,39.12871425,15.22876190625,24.6344225625,432.56282752330145
-71.2,-28.8,36.3988145,16.219070625,23.869897125,433.39715787688846
-71.2,-28.6,33.6819540625,16.40758725,22.9226391875,434.22620742287853
-71.2,-28.400000000000002,31.123213125,15.8885860625,21.852527625,435.04996605956455
-71.2,-28.200000000000003,28.8183548125,14.8531278125,20.7412449375,435.8684237497077
-71.2,-28.0,26.8088153125,13.534591125,19.66589025,436.681570520659
-71.2,-27.8,25.0888305625,12.18299053125,18.6770125625,437.48939646448184
-71.2,-27.6,23.6193161875,11.00376859375,17.790325375000002,438.291891738072
-71.2,-27.400000000000002,22.3478973125,10.07523878125,16.99804334375,439.0890465632779
-71.2,-27.200000000000003,21.2290794375,9.331996375,16.287584375,439.88085122701943
-71.2,-27.0,20.236223625,8.61705640625,15.64935134375,440.6672960814067
-71.2,-26.8,19.3659575625,7.70922175625,15.075413375,441.4483715438572
-71.2,-26.6,18.6414748125,6.32338764375,14.5660985625,442.2240680972132
-71.2,-26.400000000000002,18.1107088125,4.24022005,14.1458665,442.99437628985686
-71.2,-26.200000000000003,17.8242184375,1.61744139125,13.858821625,443.75928673582587
-71.2,-26.0,17.7919826875,336.658631778125,13.7203179375,444.5187901149279
-71.2,-25.8,17.9492941875,357.75760625,13.67185140625,445.272877172854
-71.2,-25.6,18.16752575,357.87241,13.6116709375,446.0215387212912
-71.2,-25.400000000000002,18.308623875,314.2813733765625,13.46801665625,446.76476563803504
-71.2,-25.200000000000003,18.28104675,1.370461465625,13.2284005625,447.5025488670998
-71.2,-25.0,18.17119825,2.763884925,13.042787375,448.23487941882996
-71.0,-30.0,59.414280899999994,7.620165555,25.0905041,428.3123216983501
-71.0,-29.8,57.965787850000005,8.4877364,25.1355948,429.1729023165932
-71.0,-29.6,56.296476,9.997912325,25.26798035,430.0282535984603
-71.0,-29.400000000000002,54.29245970000001,11.972257,25.4649789,430.87836512176597
-71.0,-29.200000000000003,51.901373850000006,13.952793425,25.66630055,431.72322652816956
-71.0,-29.0,49.1690947,15.458446474999999,25.776002499999997,432.56282752330145
-71.0,-28.8,46.227231599999996,16.2142496,25.70325755,433.39715787688846
